feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d
8725,-0.30822518,0.0,0.30822518,0.0,4.4452853,-0.08688104
3236,-0.30886155,0.0,0.30886155,0.0,4.12474,-0.09382612
1434,-0.3089097,0.0,0.3089097,0.0,4.4551473,-0.086881235
12449,-0.30942327,0.0,0.30942327,0.0,4.462563,-0.08688106
6052,-0.30955693,0.0,0.30955693,0.0,4.4644866,-0.086881146
3492,-0.3096332,0.0,0.3096332,0.0,4.465584,-0.08688119
10199,-0.3105133,0.0,0.3105133,0.0,3.2901978,-0.11825369
3134,-0.31053197,1.1425828,1.4531147,2.1702042,2.3426015,-0.13610782
11123,-0.3106724,0.0,0.3106724,0.0,4.128818,-0.094283015
7737,-0.31069624,0.0,0.31069624,0.0,4.068217,-0.09569482
9036,-0.31072146,0.065281995,0.37600344,0.71214235,1.7634085,-0.21118876
14668,-0.31121525,0.0,0.31121525,0.0,4.4884005,-0.08688119
1510,-0.31141344,0.0,0.31141344,0.0,2.235872,-0.17452069
2146,-0.31155494,0.0,0.31155494,0.0,4.493315,-0.08688089
5417,-0.31157297,0.0,0.31157297,0.0,3.7116182,-0.1051848
1221,-0.31204033,0.0,0.31204033,0.0,4.500298,-0.086881235
15137,-0.3124593,0.2799179,0.5923772,1.2257472,4.872837,-0.0789357
9852,-0.3125106,0.3163097,0.6288203,2.9097643,5.5810356,-0.065286666
15510,-0.3126033,0.0,0.3126033,0.0,3.4913695,-0.11219002
2386,-0.31270182,0.04122434,0.35392615,0.44970447,4.295354,-0.0909359
9294,-0.31291962,0.0,0.31291962,0.0,4.5130033,-0.086880766
36,-0.31310433,0.0,0.31310433,0.0,4.5156612,-0.08688088
14837,-0.31322378,0.0,0.31322378,0.0,4.5173793,-0.086880974
12943,-0.3134835,0.0,0.3134835,0.0,4.5211163,-0.08688114
1672,-0.3138175,0.0,0.3138175,0.0,4.5259485,-0.08688085
14488,-0.31386405,0.0,0.31386405,0.0,4.526618,-0.086880885
10964,-0.3139799,0.0,0.3139799,0.0,4.528285,-0.08688096
9694,-0.31414902,0.0,0.31414902,0.0,4.5307183,-0.08688107
6457,-0.31449634,0.0,0.31449634,0.0,2.8460708,-0.13846067
14943,-0.31452525,0.0,0.31452525,0.0,4.5361586,-0.086880796
12717,-0.31455076,0.0,0.31455076,0.0,4.5365257,-0.08688082
552,-0.31461197,0.0,0.31461197,0.0,4.5374064,-0.086880855
2597,-0.3149873,0.0,0.3149873,0.0,4.542806,-0.08688111
7225,-0.31515744,0.0,0.31515744,0.0,3.9981384,-0.09877027
9902,-0.31522942,0.0,0.31522942,0.0,1.687748,-0.23403223
11095,-0.31523558,0.0,0.31523558,0.0,4.5464053,-0.08688076
15098,-0.31524798,0.0,0.31524798,0.0,4.5465837,-0.086880766
3960,-0.3157477,0.0,0.3157477,0.0,4.553773,-0.08688111
52,-0.31590414,0.0,0.31590414,0.0,4.556024,-0.0868812
11763,-0.3167591,1.1556039,1.472363,2.1948369,2.3735454,-0.13710974
1041,-0.31683606,0.0,0.31683606,0.0,1.8723675,-0.21203132
15648,-0.31691632,0.0,0.31691632,0.0,4.5706406,-0.08688084
13780,-0.3169268,0.0,0.3169268,0.0,3.8806114,-0.10233291
3171,-0.31723198,0.4675704,0.7848024,1.8036733,2.618101,-0.1346947
8416,-0.31732053,0.0,0.31732053,0.0,3.607163,-0.110227235
5122,-0.3174661,0.04097065,0.35843676,0.44693694,5.1694455,-0.0767868
12459,-0.3176266,0.0,0.3176266,0.0,4.5808864,-0.08688081
14128,-0.31784964,0.0,0.31784964,0.0,4.5840955,-0.086880945
13723,-0.31793606,0.0,0.31793606,0.0,4.585338,-0.08688103
10493,-0.31827435,0.0,0.31827435,0.0,4.5902057,-0.086881235
7910,-0.31844154,0.0,0.31844154,0.0,4.144588,-0.09627307
2806,-0.31873322,0.060131844,0.37886506,0.65596104,2.1827888,-0.17843147
13768,-0.31895205,0.0,0.31895205,0.0,4.5999823,-0.08688118
7608,-0.3191024,1.1458073,1.4649097,2.176238,2.3615382,-0.1389825
1447,-0.31943443,0.0,0.31943443,0.0,4.6069493,-0.086881004
6262,-0.31951454,0.0,0.31951454,0.0,4.6081023,-0.08688104
3958,-0.3195415,0.0,0.3195415,0.0,2.385102,-0.16787143
4556,-0.31976825,0.0,0.31976825,0.0,4.611752,-0.08688122
10440,-0.3198926,0.0,0.3198926,0.0,3.5560524,-0.11271781
9970,-0.3203108,0.0,0.3203108,0.0,4.619585,-0.086881064
5965,-0.3203116,0.11764397,0.43795556,0.91183645,5.910613,-0.06744821
2392,-0.32042676,0.0,0.32042676,0.0,2.8016245,-0.14330962
9865,-0.32066995,0.0,0.32066995,0.0,4.6247787,-0.0868808
5427,-0.32068038,0.05490124,0.37558162,0.5989018,5.416718,-0.07392386
16105,-0.32093418,0.0,0.32093418,0.0,4.6285806,-0.08688097
8700,-0.32095516,0.0,0.32095516,0.0,4.628882,-0.08688099
2643,-0.3210775,0.0,0.3210775,0.0,4.2798657,-0.094001815
5693,-0.32112345,0.0,0.32112345,0.0,4.264874,-0.09434574
5797,-0.3216444,0.04507279,0.3667172,0.49168596,5.288861,-0.076015666
11254,-0.3217451,0.0,0.3217451,0.0,4.6402736,-0.08688101
385,-0.3222964,0.0,0.3222964,0.0,4.6482315,-0.086880885
5392,-0.3223753,0.0,0.3223753,0.0,4.649367,-0.08688093
10652,-0.32273775,0.048355266,0.371093,0.5274938,5.351979,-0.07535165
5078,-0.32274872,0.0,0.32274872,0.0,4.65474,-0.08688116
1225,-0.32330167,0.0,0.32330167,0.0,3.7283826,-0.10865357
2187,-0.32347327,0.0,0.32347327,0.0,4.66519,-0.08688115
15370,-0.32348257,0.066523276,0.39000586,0.72568333,2.9557552,-0.13483505
12718,-0.32356146,0.0,0.32356146,0.0,4.6664586,-0.08688122
6901,-0.3236245,0.0,0.3236245,0.0,4.667366,-0.08688124
9432,-0.32362482,0.0,0.32362482,0.0,4.667371,-0.08688124
512,-0.32364845,0.0,0.32364845,0.0,4.667737,-0.086880766
14088,-0.32413256,0.0,0.32413256,0.0,4.6747017,-0.08688109
6032,-0.32443902,0.0,0.32443902,0.0,4.679137,-0.086880796
11380,-0.324686,0.0,0.324686,0.0,4.1982555,-0.09690612
